"id","uid","bm_unit_id","fuel_type","lead_party_name"
122,"18326265-fbba-4f08-9475-37ad8efd906d","T_RMPNO-2","WIND","Rampion Offshore Windfarm Ltd"
120,"9ca6f6fa-780f-4e7f-91a3-674257dc8af9","T_RREW-1","WIND","RWE Renewables UK Robin Rigg"
119,"eebc9b84-f7f8-4d81-948d-c9e67afe7623","T_RRWW-1","WIND","RWE Renewables UK Robin Rigg"
112,"3622bba3-f692-4756-8c6a-251520ae6e76","T_SAKNW-1","WIND","Sandy Knowe Wind Farm Ltd"
111,"ff166ad8-0f3c-4589-9363-0290bda2853d","T_SANQW-1","WIND","SANQUHAR CWCL"
214,"89dd46f7-b5d0-4963-adbc-8762078c5d1d","T_SHRSW-1","WIND","Scira Offshore Energy Limited"
95,"2b1cee9a-50a0-432e-a5b3-ea051883c543","T_SHRSW-2","WIND","Scira Offshore Energy Limited"
90,"3e9fd5fa-3fc8-4ed5-aa6c-d2fe44b2b077","T_SOKYW-1","WIND","South Kyle Wind Farm Limited"
83,"36b959eb-05e3-4b44-8c4d-ebb05a5fd211","T_STLGW-1","WIND","Stronelairg Windfarm Limited"
82,"83c7b060-7586-4b38-9bb2-f70194a0fd5e","T_STLGW-2","WIND","Stronelairg Windfarm Limited"
81,"4e22a54e-609b-4f20-9edc-8520c3d9ee42","T_STLGW-3","WIND","Stronelairg Windfarm Limited"
80,"218f4c94-ea27-4e7b-a1fe-314c054d09b3","T_STRNW-1","WIND","Strathy Wind Farm Limited"
76,"6fe1ca1d-4e71-4b73-b3bd-ecda1e0c106a","T_TDBNW-1","WIND","SSE Generation Ltd"
75,"1d7ac63d-e35d-4bdc-8896-7491fdc2ae46","T_THNTO-1","WIND","Thanet Offshore Wind Limited"
74,"609e33bd-f4c8-4adb-8cc1-7899a6d1d5d8","T_THNTO-2","WIND","Thanet Offshore Wind Limited"
72,"3599579f-79c0-4ed8-b8d1-bc6cab5c29d2","T_TKNEW-1","WIND","Triton Knoll Offshore Wind"
71,"b3df0fcb-bfc0-4643-8e36-6886cbc8c8ee","T_TKNWW-1","WIND","Triton Knoll Offshore Wind"
66,"78a438f2-470c-4ad0-8836-681b6013cf8e","T_TRLGW-1","WIND","Smartestenergy Limited"
